title,current_chapter,latest_chapter,available,link
アルマーク,673,670,3,https://ncode.syosetu.com/novelview/infotop/ncode/n9407fu/
最弱テイマーはゴミ拾いの旅を始めました。,769,825,56,https://ncode.syosetu.com/novelview/infotop/ncode/n9629ex/
